tile,unit,zone,url
10SGJ3830,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3830.tif
10SGJ3831,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3831.tif
10SGJ3832,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3832.tif
10SGJ3833,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3833.tif
10SGJ3834,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3834.tif
10SGJ3835,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3835.tif
10SGJ3836,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3836.tif
10SGJ3837,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3837.tif
10SGJ3927,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3927.tif
10SGJ3928,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3928.tif
10SGJ3929,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3929.tif
10SGJ3930,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3930.tif
10SGJ3931,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3931.tif
10SGJ3932,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3932.tif
10SGJ3933,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3933.tif
10SGJ3934,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3934.tif
10SGJ3935,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3935.tif
10SGJ3936,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3936.tif
10SGJ3937,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3937.tif
10SGJ3938,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3938.tif
10SGJ4027,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4027.tif
10SGJ4028,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4028.tif
10SGJ4029,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4029.tif
10SGJ4030,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4030.tif
10SGJ4031,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4031.tif
10SGJ4032,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4032.tif
10SGJ4033,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4033.tif
10SGJ4034,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ4034.tif
